"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","PACKAGE","Package","Description","#"
"C1,C7,C11,C12,C15,C16,C18,C19","8","25v 0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","Unpolarized capacitor","1"
"C2,C17","2","50v 0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","Unpolarized capacitor","2"
"C3","1","25v 15nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","Unpolarized capacitor","3"
"C4","1","25v 20uF","","","","Capacitor_SMD:C_1812_4532Metric_Pad1.57x3.40mm_HandSolder","~","","","Unpolarized capacitor","4"
"C5","1","25v 0.12uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","Unpolarized capacitor","5"
"C6","1","25v 0.0047uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","Unpolarized capacitor","6"
"C10,C14","2","25v 10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","","","Polarized capacitor","7"
"C13","1","50v 10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","","","Polarized capacitor","8"
"C21","1","25v 100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","Unpolarized capacitor","9"
"D1,D2,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14","13","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","Light emitting diode","10"
"D3","1","B230","","","","Diode_SMD:D_SMB","http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf","","","30V 2A Schottky Barrier Rectifier Diode, SMB","11"
"J1,J2,J3,J4","4","Screw_Terminal_01x02","","","","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical","~","","","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","12"
"L1","1","10uH 4A","","","","Inductor_SMD:L_Wuerth_HCI-1890","~","","","Inductor","13"
"Q1","1","IRF7606PBF","","","","Package_SO:MSOP-8_3x3mm_P0.65mm","http://www.irf.com/product-info/datasheets/data/irf7606pbf.pdf","","","-3.6A Id, -30V Vds, HexFET P-MOS Power MOSFET, Ronon 0.09R, Micro8","14"
"Q2","1","PMOS","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs","","","P-MOSFET transistor, drain/source/gate","15"
"Q3,Q4","2","IRLZ44N","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf","","","47A Id, 55V Vds, 22mOhm Rds Single N-Channel HEXFET Power MOSFET, TO-220AB","16"
"Q5","1","FDS6930A","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.onsemi.com/pub/Collateral/FDS6930A-D.PDF","","","5.5A Id, 30V Vds, Dual N-Channel Logic Level MOSFET, 40mOhm Ron, SO-8","17"
"R1","1","4.99k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","Resistor","18"
"R2","1","0.033R","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","Resistor","19"
"R3","1","0.025R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","Resistor","20"
"R4,R5","2","3.01K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","Resistor","21"
"R6","1","6.04k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","Resistor","22"
"R7","1","26.7k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","Resistor","23"
"R8,R11,R16,R22,R23,R24","6","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","Resistor","24"
"R9,R10","2","270R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","Resistor","25"
"R12","1","1K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","Resistor","26"
"R13","1","309k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","Resistor","27"
"R14,R15,R17","3","100k 1/2W","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","Resistor","28"
"R18,R19","2","10K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","Resistor","29"
"R20","1","1.21K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","Resistor","30"
"R21","1","3.38k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","Resistor","31"
"R25","1","4.7K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","Resistor","32"
"RV1","1","10K","","","","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~","","","Potentiometer, US symbol","33"
"SW1,SW2,SW3","3","SW_MEC_5E","","","","Button_Switch_THT:SW_Push_2P1T_Toggle_CK_PVA1xxH1xxxxxxV2","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371","","","MEC 5E single pole normally-open tactile switch","34"
"U1","1","L7805","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","","","Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252","35"
"U2","1","LTC4007EGN_TRPBF","","","","LTC4007EGN_TRPBF:SOP63P600X175-24N","","SSOP-24","SSOP-24 Linear Technology/Analog Devices","","36"
"U4","1","ATmega328-P","","","","Package_DIP:DIP-28_W7.62mm_LongPads","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","","","20MHz, 32kB Flash, 2kB SRAM, 1kB EEPROM, DIP-28","37"
"U5,U6","2","Optocoupler_DC_PhotoNPN_AKEC","","","","Package_DIP:DIP-4_W7.62mm","~","","","Generic DC optocoupler with NPN phototransistor output, pins order: anode/cathode/emitter/collector","38"
"U7","1","LM3914N","","","","Package_DIP:DIP-18_W7.62mm_SMDSocket_SmallPads","https://www.ti.com/lit/ds/symlink/lm3914.pdf","","","10 LED Dot/Bar Display Driver, DIP-18","39"
"U8","1","LM2936-3.3","","","","Package_TO_SOT_SMD:SOT-223","http://www.ti.com/lit/ds/symlink/lm2936.pdf","","","50mA Ultra-Low Quiescent Current LDO Voltage Regulator, 3.3V fixed output, TO-252/SOT-223","40"
